Time,Roll_calc,Pitch_calc,Heading_calc,Pitch_octans,Roll_octans,Heading_octans,Roll_diff,Pitch_diff,Heading_diff
10:50:02,4.073618171593795,2.242729346436769,0.0298081453171567,-0.46,-0.04,124.93,4.113618171593795,2.7027293464367688,-124.90019185468284
10:50:06,4.8385892782074205,2.1305117320661515,0.04333677713068095,-0.78,0.77,124.96,4.068589278207421,2.9105117320661513,-124.91666322286932
10:50:07,4.7407353567004415,2.1452773565486094,0.04169689483681299,-0.77,0.73,125.01,4.010735356700442,2.9152773565486094,-124.96830310516319
10:50:16,4.568191260466357,2.648670869013168,0.04644191179993488,-1.04,0.12,125.36,4.4481912604663565,3.688670869013168,-125.31355808820007
10:50:17,4.7071544650958135,2.5597701590747555,0.048227482034574415,-1.1,0.3,125.42,4.407154465095814,3.6597701590747556,-125.37177251796543
10:50:22,4.3787238048753085,1.9023310899155552,0.031105428307509324,-0.39,0.55,125.08,3.8287238048753087,2.2923310899155553,-125.04889457169249
10:50:23,4.215362753647164,2.0202963739678905,0.02979766759941456,-0.36,0.38,125.03,3.835362753647164,2.3802963739678904,-125.00020233240059
10:50:24,4.053964856549112,2.1653905199574943,0.02850746907461394,-0.38,0.16,125.02,3.893964856549112,2.545390519957494,-124.99149253092538
10:50:25,3.9015245882575758,2.3474612545370483,0.027377558637553083,-0.42,-0.03,125.05,3.9315245882575756,2.7674612545370483,-125.02262244136244
10:50:26,3.796359918423214,2.4993407807300025,0.02656230884034365,-0.48,-0.26,125.12,4.056359918423214,2.9793407807300025,-125.09343769115966
10:50:27,3.747084522672688,2.6364189363350423,0.026674805157450913,-0.56,-0.4,125.21,4.147084522672688,3.1964189363350424,-125.18332519484254
10:50:28,3.791183512281143,2.7064836034274378,0.028380314532305582,-0.64,-0.45,125.33,4.241183512281143,3.346483603427438,-125.3016196854677
10:50:29,3.92241556079153,2.705432914091607,0.03157705038144574,-0.72,-0.39,125.46,4.31241556079153,3.4254329140916067,-125.42842294961855
10:50:30,4.121095604705609,2.590776216806104,0.03503032365968496,-0.76,-0.21,125.56,4.331095604705609,3.3507762168061044,-125.52496967634032
10:50:31,4.359637691127805,2.407125124960109,0.03799332089947968,-0.76,0.05,125.62,4.309637691127805,3.1671251249601093,-125.58200667910053
10:50:32,4.595792076678492,2.1796893656247684,0.03942684580411729,-0.73,0.36,125.61,4.235792076678492,2.9096893656247684,-125.57057315419588
10:50:33,4.818339884841218,1.978162414809609,0.0401542670414632,-0.68,0.69,125.54,4.128339884841218,2.6581624148096092,-125.49984573295855
10:50:34,5.000595555451926,1.8696610082803895,0.041292052219155516,-0.67,0.97,125.45,4.030595555451926,2.5396610082803894,-125.40870794778085
10:50:35,5.064689190443225,1.8853526667391332,0.042711814595790695,-0.72,1.09,125.36,3.9746891904432253,2.605352666739133,-125.31728818540421
10:50:36,5.0433959842394,2.0522626437895966,0.04572768196831137,-0.81,1.02,125.32,4.0233959842394,2.8622626437895966,-125.27427231803168
10:50:37,4.850692580835722,2.318068668288025,0.04705886720640832,-0.92,0.78,125.34,4.070692580835722,3.238068668288025,-125.2929411327936
10:50:38,4.5339832133382085,2.5893878229145413,0.04468452420961102,-0.99,0.4,125.4,4.133983213338208,3.5793878229145415,-125.35531547579039
10:50:39,4.195209235427236,2.799722414190289,0.03945639374090804,-1.0,0.01,125.48,4.185209235427236,3.799722414190289,-125.4405436062591
10:50:43,3.561229537411021,2.370128257087596,0.020292722093520774,-0.3,-0.55,125.58,4.111229537411021,2.6701282570875957,-125.55970727790648
10:50:44,3.8260648170574454,2.0590537750982576,0.022987802342416767,-0.19,-0.23,125.5,4.056064817057446,2.2490537750982575,-125.47701219765759
10:50:50,4.8549287151074445,2.4193978624470667,0.04903581715064717,-0.99,0.7,125.47,4.154928715107444,3.409397862447067,-125.42096418284935
10:50:51,4.603843304947082,2.7182012656600354,0.048438530659425334,-1.12,0.34,125.62,4.263843304947082,3.8382012656600355,-125.57156146934058
10:50:57,3.9954512805372175,2.1408822593860743,0.02708097103384072,-0.36,-0.07,125.73,4.065451280537218,2.5008822593860742,-125.70291902896616
10:50:58,4.2761601323545175,2.009595930036405,0.03077435786722611,-0.35,0.23,125.61,4.046160132354517,2.359595930036405,-125.57922564213277
10:51:02,4.927807466964523,2.1528708613588554,0.04550009774283877,-0.85,0.86,125.62,4.067807466964522,3.0028708613588555,-125.57449990225716
10:51:03,4.694627860575507,2.2802964823829712,0.04312186612978014,-0.86,0.65,125.72,4.044627860575507,3.140296482382971,-125.67687813387022
10:51:08,3.6063726232496833,2.381863212443755,0.02135423851028656,-0.31,-0.46,125.85,4.066372623249683,2.691863212443755,-125.82864576148971
10:51:09,3.827508101019264,2.2472746580210115,0.02483273445537602,-0.31,-0.27,125.8,4.0975081010192635,2.5572746580210115,-125.77516726554462
10:51:10,4.174082227996424,2.1742297243267212,0.030988297272187413,-0.38,0.02,125.75,4.154082227996424,2.554229724326721,-125.71901170272781
10:51:14,5.016656389272484,2.463323561290407,0.05346495664253353,-1.13,0.74,125.86,4.276656389272484,3.593323561290407,-125.80653504335747
10:51:15,4.873597154914644,2.653118708127881,0.05383800061299617,-1.24,0.55,125.95,4.323597154914644,3.893118708127881,-125.896161999387
10:51:21,3.9277161176426967,1.817589605422919,0.022354794618637132,-0.08,0.02,125.76,3.9077161176426967,1.897589605422919,-125.73764520538137
10:51:22,4.181905022701388,1.6555166881772179,0.02452902295061215,-0.02,0.33,125.62,3.851905022701388,1.6755166881772179,-125.59547097704939
10:51:27,4.563785092475994,2.5802800875347986,0.04523608961833424,-0.96,0.37,125.76,4.193785092475994,3.5402800875347986,-125.71476391038168
10:51:28,4.319697772844545,2.8135106133175567,0.042793387848324975,-1.06,0.02,125.95,4.299697772844546,3.8735106133175567,-125.90720661215168
10:51:33,4.146411859230521,2.363048693352241,0.03278988178393741,-0.59,-0.09,125.95,4.236411859230521,2.953048693352241,-125.91721011821606
10:51:34,4.488700265113894,2.173180432921922,0.037200965838321914,-0.61,0.26,125.81,4.228700265113894,2.783180432921922,-125.77279903416168
10:51:35,4.783659739975706,2.0825831028163613,0.04140709728830662,-0.69,0.61,125.7,4.173659739975705,2.7725831028163612,-125.6585929027117
10:51:36,4.968636339000035,2.0457405648085105,0.04419894167233076,-0.78,0.83,125.65,4.138636339000035,2.8257405648085108,-125.60580105832767
10:51:37,5.026680624631342,2.057908801929024,0.04552812782667122,-0.85,0.95,125.64,4.076680624631342,2.907908801929024,-125.59447187217333
10:51:38,4.9072663965926395,2.104948427461111,0.04418256436718446,-0.84,0.88,125.68,4.02726639659264,2.944948427461111,-125.63581743563282
10:51:39,4.6547187902442255,2.152905723848081,0.04014427012683205,-0.77,0.69,125.73,3.9647187902442256,2.922905723848081,-125.68985572987317
10:51:48,4.629797025123637,2.4642363745132334,0.04484332256703905,-0.93,0.28,125.56,4.349797025123637,3.3942363745132336,-125.51515667743297
10:51:49,4.785221175735031,2.448261557424364,0.048026469711556635,-1.02,0.46,125.62,4.325221175735031,3.468261557424364,-125.57197353028845
10:51:50,4.836886219303073,2.3963953066241204,0.04821501168342315,-1.04,0.58,125.67,4.256886219303073,3.4363953066241204,-125.62178498831658
10:51:51,4.848954565824008,2.3650824515412987,0.04789566871068074,-1.02,0.62,125.7,4.228954565824008,3.3850824515412987,-125.65210433128932
10:51:52,4.761290672771087,2.365462159723894,0.046020512285082214,-0.97,0.57,125.7,4.191290672771086,3.3354621597238943,-125.65397948771492
10:51:53,4.518570909272137,2.430760120543281,0.04183409790069368,-0.9,0.43,125.69,4.088570909272137,3.330760120543281,-125.64816590209931
10:51:58,3.793416496773087,2.1983170148081688,0.023677850050808694,-0.31,-0.18,125.32,3.973416496773087,2.508317014808169,-125.29632214994919
10:51:59,3.923048499607447,2.027541665601966,0.02447958447291573,-0.22,-0.02,125.23,3.943048499607447,2.247541665601966,-125.20552041552709
10:52:00,4.173591086310741,1.8902916764162254,0.027378552681982308,-0.2,0.18,125.12,3.9935910863107407,2.0902916764162254,-125.09262144731802
10:52:10,3.8813374285836133,2.510598768832081,0.028599774328671515,-0.62,-0.28,125.3,4.1613374285836136,3.130598768832081,-125.27140022567133
10:52:11,4.018229432466613,2.417739678008071,0.030660241611292112,-0.57,-0.15,125.23,4.168229432466613,2.987739678008071,-125.19933975838872
10:52:12,4.221578792956294,2.3050206992605307,0.033641803393723975,-0.57,0.03,125.16,4.191578792956293,2.8750206992605305,-125.12635819660628
10:52:13,4.417891016225686,2.208320845858086,0.036320197543620925,-0.62,0.29,125.1,4.127891016225686,2.828320845858086,-125.06367980245638
10:52:14,4.612199163205688,2.1367013095254013,0.03904279124376311,-0.65,0.49,125.05,4.122199163205687,2.786701309525401,-125.01095720875624
10:52:15,4.704001874487562,2.0700008511546995,0.039675785164933725,-0.68,0.66,125.01,4.044001874487562,2.7500008511546996,-124.97032421483507
10:52:16,4.6896478912654995,2.0602531410600116,0.039237125923587204,-0.67,0.71,124.98,3.9796478912654996,2.7302531410600115,-124.94076287407641
10:52:17,4.578188243546451,2.078836493984963,0.03744244408244283,-0.63,0.65,124.96,3.9281882435464515,2.708836493984963,-124.92255755591755
10:52:22,3.8084162697485477,2.490493116762425,0.02675121343011667,-0.51,-0.21,124.69,4.018416269748548,3.000493116762425,-124.66324878656988
10:52:23,3.8352944298346223,2.5360289320153053,0.02780044050279892,-0.56,-0.24,124.63,4.0752944298346225,3.0960289320153054,-124.6021995594972
10:52:24,3.967489638559996,2.5345475705986065,0.030818889174191785,-0.63,-0.16,124.59,4.127489638559996,3.1645475705986064,-124.55918111082582
10:52:25,4.162645247150566,2.483136883316668,0.03464932328373695,-0.7,-0.02,124.57,4.182645247150566,3.183136883316668,-124.53535067671626
